H_disp;SS_L;SS_D;Vd_L;Vd_D
0;0;0;0;0
0.01;0.022;0.0549;-0.044;-0.03
0.02;0.039;0.116;-0.094;-0.054
0.03;0.057;0.164;-0.137;-0.087
0.04;0.077;0.211;-0.165;-0.108
0.05;0.096;0.271;-0.201;-0.129
0.06;0.112;0.314;-0.226;-0.155
0.07;0.132;0.358;-0.255;-0.169
0.08;0.148;0.41;-0.272;-0.176
0.09;0.162;0.451;-0.29;-0.183
0.1;0.18;0.487;-0.315;-0.183
0.11;0.192;0.532;-0.333;-0.169
0.12;0.203;0.568;-0.355;-0.155
0.13;0.223;0.604;-0.369;-0.137
0.14;0.235;0.639;-0.383;-0.115
0.15;0.245;0.667;-0.398;-0.087
0.16;0.261;0.693;-0.415;-0.058
0.17;0.271;0.721;-0.426;-0.033
0.18;0.285;0.742;-0.444;0.006
0.19;0.293;0.762;-0.455;0.042
0.2;0.305;0.782;-0.469;0.074
0.21;0.316;0.796;-0.483;0.114
0.22;0.324;0.81;-0.49;0.142
0.23;0.332;0.824;-0.505;0.171
0.24;0.344;0.832;-0.512;0.199
0.25;0.352;0.838;-0.526;0.235
0.26;0.36;0.841;-0.526;0.264
0.27;0.368;0.843;-0.541;0.282
0.28;0.376;0.845;-0.548;0.307
0.29;0.388;0.843;-0.555;0.324
0.3;0.396;0.841;-0.566;0.346
0.31;0.4;0.84;-0.576;0.36
0.32;0.412;0.836;-0.583;0.374
0.33;0.415;0.828;-0.591;0.389
0.34;0.423;0.824;-0.598;0.396
0.35;0.431;0.816;-0.605;0.41
0.36;0.439;0.808;-0.616;0.425
0.37;0.445;0.8;-0.623;0.432
0.38;0.451;0.792;-0.63;0.439
0.39;0.459;0.784;-0.637;0.453
0.4;0.463;0.776;-0.641;0.46
0.41;0.471;0.768;-0.648;0.467
0.42;0.475;0.76;-0.655;0.475
0.43;0.481;0.748;-0.662;0.478
0.44;0.487;0.74;-0.669;0.485
0.45;0.491;0.733;-0.676;0.489
0.46;0.497;0.725;-0.68;0.496
0.47;0.503;0.717;-0.683;0.503
0.48;0.507;0.707;-0.691;0.503
0.49;0.511;0.701;-0.694;0.51
0.5;0.517;0.693;-0.698;0.51
0.51;0.521;0.685;-0.705;0.517
0.52;0.524;0.681;-0.708;0.521
0.53;0.53;0.677;-0.712;0.525
0.54;0.534;0.673;-0.719;0.528
0.55;0.538;0.669;-0.723;0.532
0.56;0.542;0.665;-0.726;0.532
0.57;0.544;0.665;-0.73;0.539
0.58;0.548;0.661;-0.734;0.539
0.59;0.55;0.661;-0.737;0.542
0.6;0.554;0.657;-0.741;0.546
0.61;0.558;0.657;-0.744;0.546
0.62;0.562;0.655;-0.748;0.55
0.63;0.564;0.653;-0.751;0.553
0.64;0.566;0.653;-0.755;0.553
0.65;0.57;0.649;-0.755;0.553
0.66;0.572;0.649;-0.759;0.56
0.67;0.574;0.649;-0.762;0.56
0.68;0.578;0.647;-0.762;0.56
0.69;0.578;0.645;-0.766;0.564
0.7;0.582;0.645;-0.769;0.564
0.71;0.582;0.645;-0.769;0.568
0.72;0.586;0.645;-0.769;0.568
0.73;0.586;0.643;-0.773;0.568
0.74;0.59;0.643;-0.776;0.571
0.75;0.588;0.645;-0.776;0.575
0.76;0.592;0.643;-0.776;0.575
0.77;0.594;0.643;-0.776;0.575
0.78;0.594;0.641;-0.78;0.575
0.79;0.594;0.641;-0.78;0.575
0.8;0.596;0.641;-0.784;0.575
0.81;0.598;0.641;-0.784;0.571
0.82;0.598;0.641;-0.784;0.582
0.83;0.598;0.641;-0.787;0.582
0.84;0.6;0.641;-0.784;0.582
0.85;0.6;0.641;-0.784;0.585
0.86;0.604;0.645;-0.784;0.589
